,,,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
31,RJ Barrett,SG,23,TOR,32,1072,0.553,8.7,,0.756,0.431,0.293,0.028,0.004,0.244,,0.605,0.731,0.451,0.286,0.5,0.392,,0.622,0.979,,0.063,29,,0.325,0.436,,0,0
32,Charles Bassey,C,23,SAS,19,205,0.725,5,,0.975,0.65,0.1,0.2,0.025,0.025,,0.744,0.846,0.75,0.5,0,0,,0.793,,,0.25,10,,0,,,0,0
33,Emoni Bates,SF,20,CLE,15,133,0.306,20.5,,0.327,0.143,0.041,0.041,0.102,0.673,,0.313,0.286,0,0.5,0.4,0.303,,0.2,1,,0.02,0,,0.182,0.5,,0,0
34,Keita Bates-Diop,SF,28,TOT,53,665,0.434,12.2,,0.584,0.343,0.181,0.06,0,0.416,,0.526,0.632,0.333,0.5,,0.304,,0.627,0.952,,0.096,15,,0.623,0.326,,0,0
34,Keita Bates-Diop,SF,28,PHO,39,597,0.427,12.4,,0.573,0.34,0.173,0.06,0,0.427,,0.512,0.608,0.346,0.444,,0.313,,0.614,0.95,,0.1,14,,0.656,0.333,,0,0
34,Keita Bates-Diop,SF,28,BRK,14,68,0.5,11,,0.688,0.375,0.25,0.063,0,0.313,,0.636,0.833,0.25,1,,0.2,,0.714,1,,0.063,1,,0.2,0,,0,0
35,Nicolas Batum,PF,35,TOT,60,1529,0.453,19,,0.277,0.191,0.043,0.027,0.016,0.723,,0.606,0.653,0.636,0.429,0.25,0.395,,0.628,1,,0.035,9,,0.535,0.434,,1,0
35,Nicolas Batum,PF,35,LAC,3,54,0.375,22,,0.125,0,0.125,0,0,0.875,,1,,1,,,0.286,,1,1,,0.125,1,,0.571,0.5,,0,0
35,Nicolas Batum,PF,35,PHI,57,1475,0.456,18.9,,0.282,0.198,0.04,0.028,0.016,0.718,,0.6,0.653,0.6,0.429,0.25,0.399,,0.619,1,,0.032,8,,0.534,0.432,,1,0
36,Darius Bazley,PF,23,TOT,9,152,0.6,9.9,,0.733,0.333,0.333,0.067,0,0.267,,0.727,0.9,0.6,0.5,,0.25,,0.5,1,,0.233,6,,0.625,0.4,,0,0
36,Darius Bazley,PF,23,PHI,3,10,0,0.8,,1,1,0,0,0,0,,0,0,,,,,,,,,1,0,,,,,0,0
36,Darius Bazley,PF,23,UTA,6,142,0.621,10.2,,0.724,0.31,0.345,0.069,0,0.276,,0.762,1,0.6,0.5,,0.25,,0.5,1,,0.207,6,,0.625,0.4,,0,0
37,Bradley Beal,SG,30,PHO,53,1767,0.513,13.5,,0.68,0.233,0.193,0.132,0.122,0.32,,0.552,0.725,0.472,0.474,0.433,0.43,,0.442,0.861,,0.034,22,,0.311,0.438,,0,0
38,Malik Beasley,SG,27,MIL,79,2337,0.443,20.7,,0.249,0.073,0.1,0.04,0.036,0.751,,0.533,0.736,0.472,0.414,0.423,0.413,,0.688,0.951,,0.008,5,,0.399,0.472,,0,0
39,MarJon Beauchamp,SF,23,MIL,48,608,0.488,14.8,,0.548,0.277,0.127,0.054,0.09,0.452,,0.56,0.63,0.476,0.556,0.467,0.4,,0.588,0.967,,0.096,12,,0.387,0.448,,0,0
40,Jules Bernard,SG,24,WAS,19,149,0.453,14,,0.547,0.328,0.172,0.031,0.016,0.453,,0.514,0.571,0.455,0.5,0,0.379,,0.278,0.909,,0.016,1,,0.172,0.6,,0,0
41,Dāvis Bertāns,PF,31,TOT,43,674,0.393,23.7,,0.145,0.064,0.038,0.004,0.038,0.855,,0.471,0.6,0.444,0,0.333,0.38,,0.938,0.961,,0.017,3,,0.225,0.333,,1,0
41,Dāvis Bertāns,PF,31,OKC,15,91,0.385,23.8,,0.077,0.038,0,0.038,0,0.923,,0,0,,0,,0.417,,,0.9,,0,0,,0.375,0.333,,0,0
41,Dāvis Bertāns,PF,31,CHO,28,583,0.394,23.7,,0.154,0.067,0.043,0,0.043,0.846,,0.5,0.643,0.444,,0.333,0.375,,0.938,0.97,,0.019,3,,0.205,0.333,,1,0
42,Patrick Beverley,PG,35,TOT,73,1462,0.417,15.3,,0.522,0.153,0.293,0.066,0.011,0.478,,0.49,0.672,0.441,0.32,0.25,0.337,,0.361,0.852,,0.003,1,,0.309,0.464,,0,0
42,Patrick Beverley,PG,35,PHI,47,919,0.432,14.9,,0.548,0.154,0.315,0.066,0.012,0.452,,0.523,0.703,0.474,0.375,0.333,0.321,,0.348,0.771,,0.004,1,,0.22,0.583,,0,0
42,Patrick Beverley,PG,35,MIL,26,543,0.391,15.9,,0.478,0.152,0.254,0.065,0.007,0.522,,0.424,0.619,0.371,0.222,0,0.361,,0.393,0.962,,0,0,,0.444,0.375,,0,0
43,Saddiq Bey,SF,24,ATL,63,2062,0.416,14.5,,0.486,0.287,0.155,0.033,0.011,0.514,,0.522,0.645,0.361,0.261,0.375,0.316,,0.492,0.982,,0.066,44,,0.453,0.29,,1,0
44,Goga Bitadze,C,24,ORL,62,957,0.603,3.8,,0.933,0.689,0.23,0.005,0.01,0.067,,0.636,0.715,0.438,0,0,0.143,,0.637,1,,0.273,51,,0.286,0,,0,0
45,Onuralp Bitim,SG,24,CHI,23,268,0.381,16.2,,0.476,0.202,0.143,0.083,0.048,0.524,,0.5,0.706,0.25,0.571,0.25,0.273,,0.75,1,,0.06,3,,0.341,0.267,,0,0
46,Bismack Biyombo,C,31,TOT,40,791,0.565,3.7,,1,0.489,0.504,0.008,0,0,,0.565,0.719,0.424,0,,,,0.757,,,0.198,24,,,,,0,0
46,Bismack Biyombo,C,31,MEM,30,718,0.563,3.7,,1,0.487,0.504,0.008,0,0,,0.563,0.724,0.417,0,,,,0.776,,,0.21,24,,,,,0,0
46,Bismack Biyombo,C,31,OKC,10,73,0.583,3.3,,1,0.5,0.5,0,0,0,,0.583,0.667,0.5,,,,,0.571,,,0.083,0,,,,,0,0
47,Anthony Black,PG,20,ORL,69,1164,0.466,13,,0.619,0.308,0.162,0.085,0.065,0.381,,0.51,0.684,0.4,0.286,0.25,0.394,,0.731,0.919,,0.109,25,,0.5,0.404,,0,0
48,Leaky Black,SF,24,CHO,26,284,0.481,12.4,,0.615,0.308,0.212,0.038,0.058,0.385,,0.5,0.75,0.182,0.5,0.333,0.45,,0.688,1,,0.077,4,,0.45,0.556,,0,0
