Rk,Player,Pos,Age,Team,G,MP,,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
59,Dāvis Bertāns,PF,31,TOT,43,674,,,83,86,104,102,116,101,58,216,,4.2,1.7
60,Dāvis Bertāns,PF,31,OKC,15,91,,,81,,114,106,119,116,236,234,,1.6,6.2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
61,Dāvis Bertāns,PF,31,CHO,28,583,,,83,92,103,101,113,98,35,214,,2.6,-4.5
62,Patrick Beverley,SG-PG,35,TOT,73,1462,,,88,90,92,91,105,93,97,121,,-37.3,-34.6
63,Patrick Beverley,PG,35,PHI,47,919,,,91,96,88,92,103,94,107,115,,-20.4,-17.7
64,Patrick Beverley,PG,35,MIL,26,543,,,82,78,99,89,109,90,80,132,,-16.8,-16.9
65,Saddiq Bey,SF,24,ATL,63,2062,,,88,96,86,91,107,95,119,130,,-68.9,-49.1
66,Goga Bitadze,C,24,ORL,62,957,,,127,117,39,111,84,108,170,17,,25.5,24.2
67,Onuralp Bitim,SG,24,CHI,23,268,,,80,92,75,83,102,80,24,133,,-15.8,-20
68,Bismack Biyombo,C,31,TOT,40,791,,,119,104,,103,61,97,169,,,4.8,-5.5
69,Bismack Biyombo,C,31,MEM,30,718,,,119,103,,103,61,97,158,,,3.9,-5.5
70,Bismack Biyombo,C,31,OKC,10,73,,,123,107,,107,64,100,273,,,0.9,0
71,Anthony Black,PG,20,ORL,69,1164,,,98,94,108,99,78,97,133,96,,-3,-11.3
72,Leaky Black,SF,24,CHO,26,284,,,101,92,123,104,85,102,118,97,,2.2,1
73,Buddy Boeheim,SF,24,DET,10,84,,,65,46,88,82,102,88,141,218,,-5.7,-4.7
74,Bogdan Bogdanović,SG,31,ATL,79,2401,,,90,92,102,98,117,98,61,148,,-20.4,-26.7
75,Bojan Bogdanović,SF-PF,34,TOT,57,1478,,,96,93,109,101,100,100,90,124,,6.6,2
76,Bojan Bogdanović,PF,34,DET,28,921,,,99,95,114,104,99,103,100,123,,19.4,18.9
77,Bojan Bogdanović,SF,34,NYK,29,557,,,91,90,101,95,102,95,72,126,,-12.8,-16.9
78,Bol Bol,PF,24,PHO,43,469,,,130,132,116,126,101,121,52,87,,42.9,38.1
79,Marques Bolden,C,25,TOT,11,121,,,143,130,,124,96,119,65,10,,6.7,6
80,Marques Bolden,C,25,MIL,2,3,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
81,Marques Bolden,C,25,CHO,9,118,,,143,130,,124,96,119,65,10,,6.7,6
82,Devin Booker,PG,27,PHO,68,2447,,,104,101,99,101,113,105,143,81,,9.5,94
83,Brandon Boston Jr.,SF,22,LAC,32,345,,,85,86,74,82,89,82,84,82,,-32,-36.6
84,Chris Boucher,PF,31,TOR,50,705,,,107,118,90,106,98,108,174,110,,13.8,23.3
85,James Bouknight,SG,23,CHO,14,81,,,93,83,118,109,64,103,20,185,,4.2,1.4
86,Jamaree Bouyea,PG,24,TOT,9,95,,,75,87,30,69,,65,,81,,-9.6,-11.5
87,Jamaree Bouyea,PG,24,POR,6,57,,,50,71,,44,,41,,96,,-13,-14.4
88,Jamaree Bouyea,PG,24,SAS,3,38,,,151,122,273,144,,135,,36,,3.3,2.9
89,Malaki Branham,PG,20,SAS,75,1594,,,91,91,95,93,111,91,41,108,,-51.4,-70.6
90,Christian Braun,SG,22,DEN,82,1655,,,97,91,105,96,88,95,114,86,,-21,-28.7
91,Mikal Bridges,SF,27,BRK,82,2854,,,92,90,102,95,104,97,100,116,,-66.4,-56.8
92,Miles Bridges,SF,25,CHO,69,2581,,,97,97,95,96,105,96,71,94,,-47.6,-62.3
93,Oshae Brissett,SF,25,BOS,55,630,,,94,99,75,90,77,91,222,91,,-16.2,-18.8
94,Izaiah Brockington,PG,24,NOP,1,3,,,84,92,,73,,69,,51,,-1.5,-1.8
95,Malcolm Brogdon,PG,31,POR,39,1121,,,93,84,113,96,104,97,96,102,,-24.2,-21.6
96,Armoni Brooks,PG,25,BRK,10,104,,,69,52,94,82,64,77,18,176,,-9.3,-12.4
97,Dillon Brooks,SF,28,HOU,72,2227,,,90,90,98,94,108,95,78,122,,-48.5,-50.9
98,Bruce Brown,PG-SG-SF,27,TOT,67,1866,,,101,99,88,96,105,97,100,71,,-27.2,-21.6
99,Bruce Brown,SG,27,IND,33,981,,,100,100,89,96,104,98,107,81,,-12.2,-8.1
100,Bruce Brown,PG,27,TOR,34,885,,,101,98,87,95,106,96,92,60,,-14.9,-13.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
101,Charlie Brown Jr.,SG,26,NYK,8,37,,,42,,78,55,,52,,177,,-4.9,-5.6
102,Greg Brown III,PF,22,DAL,6,40,,,96,92,91,91,57,86,335,69,,-1,-2.4
103,Jaylen Brown,SF,27,BOS,70,2343,,,105,104,97,102,90,100,98,83,,26.1,-0.1
104,Kendall Brown,SG,20,IND,15,63,,,112,113,,98,80,98,218,34,,-0.4,-0.5
105,Kobe Brown,PF,24,LAC,44,394,,,87,100,80,89,64,84,9,135,,-10.4,-16.4
106,Moses Brown,C,24,POR,22,200,,,107,93,,93,37,82,195,,,-5,-16.2
107,Troy Brown Jr.,SF,24,TOT,59,827,,,78,80,91,87,110,88,67,158,,-32,-34
108,Troy Brown Jr.,SF,24,MIN,37,410,,,93,113,101,105,110,104,76,180,,6,5.9
109,Troy Brown Jr.,SF,24,DET,22,417,,,62,58,77,68,111,70,57,134,,-38.1,-39.9
110,Jalen Brunson,PG,27,NYK,77,2726,,,101,95,110,99,108,102,123,81,,-10.4,46.7
111,Thomas Bryant,C,26,MIA,38,441,,,122,118,50,108,111,110,129,37,,13.1,20.2
112,Kobe Bufkin,SG,20,ATL,17,196,,,78,88,62,77,64,73,36,110,,-23.6,-29.8
113,Reggie Bullock,SF,32,HOU,44,417,,,87,86,110,106,128,100,5,207,,5.4,0.4
114,Alec Burks,SG,32,TOT,66,1212,,,78,66,103,87,111,92,120,147,,-78,-56.3
115,Alec Burks,SG,32,DET,43,901,,,83,70,110,94,115,100,135,154,,-24.8,0.7
116,Alec Burks,SG,32,NYK,23,311,,,65,57,82,70,93,72,83,129,,-53.2,-56.9
117,Jared Butler,SG,23,WAS,40,566,,,103,110,84,100,110,100,73,98,,0.3,-0.5
118,Jimmy Butler,PF,34,MIA,60,2042,,,105,95,113,98,109,108,237,46,,-14.8,91.9
119,Jamal Cain,PF,24,MIA,26,259,,,91,88,97,91,100,94,119,99,,-7.4,-6.4
120,Kentavious Caldwell-Pope,SG,30,DEN,76,2402,,,97,95,111,104,114,104,79,133,,23.4,27.4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
121,Toumani Camara,PF,23,POR,70,1739,,,95,96,92,94,97,94,93,99,,-26.8,-31.6
122,Clint Capela,C,29,ATL,73,1883,,,120,105,,105,80,102,136,,,30.5,14
123,Jevon Carter,PG,28,CHI,72,1004,,,80,85,90,88,73,84,8,162,,-46,-70
124,Wendell Carter Jr.,C,24,ORL,55,1406,,,111,115,102,110,88,107,129,102,,45.4,41.6
125,D.J. Carton,SG,23,TOR,4,36,,,79,92,68,80,102,93,256,127,,-1.7,-0.8
126,Alex Caruso,SG,29,CHI,71,2040,,,99,103,112,109,97,106,73,156,,50.6,38.5
127,Colin Castleton,C,23,LAL,16,59,,,119,103,,103,128,111,153,,,0.5,2.4
128,Malcolm Cazalon,SG,22,DET,1,3,,,,,,,,,,,,0,0
129,Justin Champagnie,SF,22,WAS,15,235,,,86,106,79,90,102,91,79,146,,-8.3,-9.1
130,Julian Champagnie,SF,22,SAS,74,1468,,,86,92,100,98,104,98,94,175,,-10.4,-9.3
131,Max Christie,SG,20,LAL,67,944,,,90,91,97,94,100,94,78,124,,-15.4,-19
132,Sidy Cissoko,SF,19,SAS,12,141,,,102,131,23,91,102,98,186,92,,-3.1,-0.9
133,Brandon Clarke,PF,27,MEM,6,134,,,118,111,46,104,18,94,49,26,,2.5,-4
134,Jordan Clarkson,SG,31,UTA,55,1682,,,87,89,81,86,112,90,101,96,,-126.9,-107.1
135,Nic Claxton,C,24,BRK,71,2116,,,133,116,55,115,70,108,138,2,,96.8,65.9
136,Noah Clowney,PF,19,BRK,23,370,,,113,116,99,110,89,108,132,90,,10.3,9.8
137,Amir Coffey,SF,26,LAC,70,1460,,,99,105,104,104,110,104,83,132,,17.2,18.4
138,John Collins,PF,26,UTA,68,1901,,,112,111,101,108,101,107,102,79,,64.6,67.2
139,Zach Collins,C,26,SAS,69,1526,,,102,101,88,97,96,97,108,74,,-19.3,-21.2
140,Mike Conley,PG,36,MIN,76,2193,,,96,88,121,109,116,108,71,159,,63.1,64.8
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
141,Pat Connaughton,SF,31,MIL,76,1676,,,92,116,94,101,97,99,68,174,,4.7,-4.1
142,Bilal Coulibaly,SF,19,WAS,63,1715,,,92,92,95,93,90,94,124,108,,-32.2,-36
143,Ricky Council IV,SG,22,PHI,32,289,,,102,96,103,98,95,104,259,72,,-2.4,6.8
144,Robert Covington,SF-PF,33,TOT,29,488,,,93,105,93,98,108,100,109,145,,-2.1,0.1
145,Robert Covington,PF,33,LAC,3,69,,,70,183,68,81,64,79,91,225,,-1.8,-2.5
146,Robert Covington,SF,33,PHI,26,419,,,95,103,97,100,112,102,110,137,,-0.3,2.5
147,Torrey Craig,SF,33,CHI,53,1049,,,91,90,107,101,96,98,59,154,,1.6,-6.5
148,Jae Crowder,PF,33,MIL,50,1156,,,89,99,96,97,92,94,55,156,,-9.1,-19.6
149,Jalen Crutcher,PG,24,NOP,1,3,,,,,,,,,,,,-1.1,-1.2
150,Cade Cunningham,PG,22,DET,62,2074,,,95,89,97,91,111,94,96,73,,-108.6,-88.5
151,Seth Curry,SG,33,TOT,44,616,,,83,80,96,89,115,90,62,134,,-25,-26.5
152,Seth Curry,SG,33,DAL,36,457,,,79,71,99,86,114,87,54,140,,-21.5,-23.9
153,Seth Curry,SG,33,CHO,8,159,,,93,101,88,95,117,97,83,120,,-3.5,-2.6
